RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_INDEX	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION	CURRENT_FIX_BLINK_AROUND	decision	video	outcome	prompt	answer
4	2	1	952.1	336.4	3356	3588	233	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	2	870.4	549	3629	3797	169	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	3	741.2	442.9	4607	5302	696	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	4	717.2	401.8	5320	5862	543	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	5	661.1	467.8	5886	6261	376	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	6	700.9	379.2	6301	6450	150	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	7	844.1	328.1	6478	6610	133	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	8	933.1	345.8	6646	6825	180	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	9	868	357	6846	7456	611	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	2	10	493.7	738.2	7507	9066	1560	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	3	1	875.7	742.7	6498	6511	14	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	2	891.2	583.5	6530	7192	663	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	3	920.5	383.5	7239	7595	357	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	4	827.3	544.6	7623	8172	550	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	5	740.4	460.1	8200	9446	1247	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	6	679.1	326.9	9476	11134	1659	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	7	960.1	564.3	11183	11413	231	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	8	988.4	1009.5	11464	11986	523	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	9	534.3	1005.4	12032	12144	113	NONE	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	3	10	-126.1	1037.4	12187	12453	267	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	What if?	Right
4	4	1	940.1	536.9	3371	4012	642	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	2	1012.4	429.2	4039	4795	757	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	3	1048.3	241.8	4812	5320	509	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	4	1125.7	284.1	5345	6373	1029	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	5	1240.2	558.1	6412	6883	472	AFTER	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	6	1034.2	605.1	7072	7281	210	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	7	1264.5	651.2	7323	7665	343	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	8	1611.8	1051.2	7730	7917	188	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	9	1323.7	777.8	7979	8307	329	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	10	1412.5	815	8348	8541	194	NONE	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	11	1356.8	775.8	8577	9055	479	AFTER	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	4	12	1321.8	735.2	9199	9260	62	BOTH	Right	LAMI-kids-right-missX.xvd	miss	What if?	Left
4	5	1	1078.1	496.7	5485	5773	289	BEFORE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	2	1030.3	419	5798	6861	1064	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	3	1021.7	139.1	6894	7379	486	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	4	1016.4	181.7	7386	7876	491	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	5	1112.6	225.2	7910	8250	341	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	6	1111.9	178.7	8261	8586	326	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	7	1207.1	236.6	8620	9562	943	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	8	2161.2	1138.1	9653	10163	511	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	9	1986.8	1291	10182	10396	215	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	10	645.8	1276.8	10497	10945	449	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	11	233	716.3	11031	11139	109	NONE	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	5	12	-15.6	1210.4	11267	11422	155	AFTER	Right	LAMI-kids-right-missX.xvd	miss	Cause	Right
4	6	1	698.3	442.1	3396	3617	222	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	2	895.9	575.7	3661	4456	796	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	3	863	412	4473	5166	694	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	4	916.9	198.9	5247	5555	309	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	5	906.9	125	5578	5917	340	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	6	671.1	222	5947	6547	601	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	7	645.9	318.6	6570	7606	1037	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	8	655.9	280.6	7769	8479	711	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	9	644.3	377.7	8507	8685	179	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	10	668.1	299.7	8708	8944	237	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	6	11	1332.6	340.8	9010	9240	231	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Remember	Left
4	7	1	848.3	534.2	3907	4274	368	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	2	878.9	574.7	4305	5091	787	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	3	789.4	457.1	5114	5864	751	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	4	720.2	324.4	5894	6523	630	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	5	667.7	53.8	6532	6918	387	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	6	693.4	-77.6	7066	7234	169	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	7	678.1	20.1	7256	7281	26	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	8	-267.2	-66.6	7706	7799	94	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	9	257.3	40.4	7855	7976	122	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	10	21.5	-65.8	8013	8256	244	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	11	685.1	367.8	8466	8626	161	AFTER	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	12	1558.5	632.5	8826	9040	215	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	7	13	1740	1215.7	9098	9724	627	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
4	8	1	826.3	508.4	3370	3703	334	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	2	942	536.8	3729	4294	566	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	3	889.3	627.9	4558	4693	136	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	4	904.5	420.2	4702	5757	1056	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	5	1117.4	427.4	5785	6144	360	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	6	1149.3	339.9	6166	7186	1021	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	7	1217.5	346.8	7211	7817	607	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	8	1192	325.6	7999	8453	455	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	9	1365.4	41.2	8509	8644	136	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	10	1436.3	-280.2	8684	9016	333	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	11	1262.6	185.5	9070	9145	76	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	8	12	1067.6	417.1	9193	9322	129	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Remember	Right
4	9	1	1084.7	562	3886	4119	234	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	2	909.1	538.6	4158	4850	693	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	3	893.5	484.1	4930	5143	214	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	4	1061.3	338.9	5183	5959	777	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	5	1066.4	296	5994	6998	1005	NONE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	6	1163.2	343.4	7031	7573	543	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	7	1216.7	406.3	7749	7963	215	BOTH	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	8	1089.8	284	8182	8435	254	BOTH	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	9	969.1	265	8627	8791	165	BOTH	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	10	723.4	357.3	8991	9295	305	BOTH	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	9	11	1102.2	1173.3	9531	9857	326	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	Cause	Right
4	11	1	933.4	698.3	3928	4214	287	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	2	946.3	499.4	4240	5576	1337	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	3	1016	250	5597	5757	161	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	4	994.4	426.4	5797	5890	94	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	5	956.7	297.4	5957	6064	108	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	6	912	220.5	6137	6160	24	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	7	1027.5	130.1	6274	6398	125	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	8	1115.5	160.3	6432	6898	467	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	9	1145.8	172.1	6928	7464	537	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	10	1149	129.5	7478	7517	40	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	11	1108.9	212.4	7612	7656	45	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	12	1137.3	231	7663	7746	84	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	13	1090.3	745	7942	7990	49	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	14	1115	895.7	8011	8049	39	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	15	945.4	312.7	8353	8511	159	BOTH	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	16	1074.1	337	8704	8793	90	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	17	1229.6	280.8	8827	9281	455	AFTER	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	18	1397.8	-256.4	9450	9570	121	BEFORE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	19	1191.5	280.2	9620	9867	248	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	11	20	1259.5	320.6	9903	9928	25	NONE	Right	LAMI-kids-right-scoreX.xvd	score	What if?	Right
4	12	1	777.1	635.1	7752	8128	377	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	2	840.7	557.7	8150	8659	510	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	3	752.4	768.5	8897	8971	75	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	4	749.3	638.4	8994	9151	158	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	5	746.3	588.9	9170	9196	27	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	6	731.4	761.1	9224	9292	69	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	7	728.1	573	9308	9381	74	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	8	730	421.8	9390	9679	290	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	9	728.6	431.7	9701	9729	29	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	10	728.5	241.8	9770	10228	459	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	11	758.6	305.7	10241	10564	324	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	12	814.6	692.1	11447	11671	225	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	13	701.7	291.5	11730	11935	206	AFTER	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	14	611.8	280.1	12150	12648	499	BEFORE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	15	534.5	303.2	12668	12708	41	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	16	615.2	282	12725	13464	740	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
4	12	17	830	346.8	13493	13751	258	NONE	Left	LAMI-kids-left-scoreX.xvd	score	Cause	Left
1	1	1	756	765.7	26402	26572	171	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	2	809.6	439.7	26623	26927	305	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	3	877.2	537.8	26952	28020	1069	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	4	804.5	469	28041	28980	940	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	5	669.9	620.6	29004	30864	1861	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	6	625.8	686.4	30895	31570	676	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	7	582.4	840.4	31609	32320	712	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	1	8	790.9	415.8	32376	32399	23	NONE	Left	LAMI-kids-left-missX.xvd	miss	Remember	Left
1	2	1	1023.6	578.2	7243	7445	203	BEFORE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	2	908.7	623.1	7483	7657	175	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	3	925.9	456.3	7702	8194	493	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	4	834	484.6	8217	10042	1826	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	5	653.6	644.9	10083	10715	633	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	6	754.7	520.9	10744	11114	371	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
1	2	7	632.7	768.5	11156	11530	375	NONE	Left	LAMI-kids-left-missX.xvd	miss	What if?	Left
